,Company,Product,Style,Rating
151,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,2.5
152,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,0.0
153,Nissin,Seafood Flavour Rice Vermicelli,Cup,5.0
154,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,3.75
155,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,3.5
156,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,3.25
157,Uni-President,Baseball Snack Noodle,Pack,5.0
158,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,3.75
159,MyKuali,Penang Red Tom Yum Goong,Box,5.0
160,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,4.5
161,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,3.75
162,Xiuhe,Hot & Sour Beef Noodles,Bowl,4.25
163,Nissin,Kitsune Udon Donbei (West),Bowl,5.0
164,Little Cook,Thailand Green Curry Instant Noodle,Bowl,5.0
165,Nissin,Cup Noodles Beef Flavour,Cup,2.5
166,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,3.25
167,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,3.75
168,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,3.75
169,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,3.5
170,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,3.75
171,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,4.5
172,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,0.25
173,Nissin,Cup Noodles Mini Spicy Seafood,Cup,4.0
174,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,5.0
175,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,4.75
176,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,3.75
177,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,5.0
178,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,5.0
179,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,4.0
180,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,1.0
181,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,4.0
182,Maggi,2 Minute Noodles Chicken Flavour,Pack,3.25
183,Master Kong,Chicken Flavor Instant Noolde,Pack,4.25
184,Nissin,Cup Noodles Prawn Flavour,Cup,3.75
185,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,3.0
186,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,5.0
187,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,5.0
188,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,3.75
189,Gefen,Imitation Chicken Flavor,Cup,4.0
190,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,4.25
191,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,3.5
192,Maggi,2 Minute Noodles Curry Flavour,Pack,4.0
193,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,4.75
194,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,4.25
195,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,3.5
196,Nongshim,Seaweed Instant Noodle,Cup,0.5
197,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,4.75
198,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,3.75
199,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,2.5
200,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,4.5
201,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,5.0
202,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,3.25
203,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,5.0
204,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,4.5
205,Nissin,Top Ramen Atta Nooldes Masala,Pack,4.5
206,Liu Quan,Instant Spicy Rice Noodle,Bowl,4.0
207,Daikoku,Tanuki Soba,Cup,3.5
208,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,4.5
209,Samyang Foods,Curry Buldak Bokkeummyun,Pack,4.25
210,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,3.75
211,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,4.0
212,Samyang Foods,Buldak Bokkeummyun Snack,Pack,5.0
213,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,5.0
214,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,4.0
215,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,4.0
216,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,4.0
217,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,5.0
218,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,2.0
219,Daikoku,Kitsune Udon,Cup,2.0
220,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,4.0
221,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,5.0
222,Nongshim,Spicy Shrimp Cup Noodle,Cup,4.0
223,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,4.0
224,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,5.0
225,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,4.0
226,Uni-President,Minced Pork Flavor Instant Noodles,Pack,1.0
227,1 To 3 Noodles,Chatpat Masala,Pack,4.0
228,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,4.0
229,Fantastic,Noodles Chicken & Corn Flavour,Cup,3.0
230,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,3.0
231,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,3.0
232,Knorr,Chatt Patta Instant Noodles,Pack,1.0
233,Sempio,Clam Flavor Soup Kal-guksu,Pack,5.0
234,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,4.0
235,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,4.0
236,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,4.0
237,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,4.0
238,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,4.0
239,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,3.0
240,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,4.0
241,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,3.0
242,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,3.0
243,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,5.0
244,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,4.0
245,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,4.0
246,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,4.0
247,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,4.0
248,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,4.0
249,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,5.0
250,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,3.0
251,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,4.0
252,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,4.0
253,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,4.0
254,Paldo,Bul Jjajangmyeon,Pack,5.0
255,Ogasawara,Kirin Giraffe Shio Ramen,Pack,5.0
256,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,3.0
257,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,5.0
258,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,4.0
259,Nongshim,Saeutang Sabalmyeon,Bowl,3.5
260,Happy Cook,Sichuan Spicy Flavor,Pack,5.0
261,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,4.0
262,Nissin,Cup Noodle Spicy Curry Chicken,Cup,5.0
263,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,3.0
264,Nissin,Cup Noodles Spicy Beef Flavour,Cup,4.0
265,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,3.5
266,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,5.0
267,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,3.8
268,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,4.0
269,Nissin,Cup Noodles Big Seafood Flavour,Cup,4.0
270,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,4.0
271,Ottogi,Ramyun Sabor Pollo,Pack,4.0
272,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,4.0
273,Ajinatori,Chicken Flavor Ramen,Pack,4.0
274,Maggi,2 Minute Noodles Masala Spicy,Pack,5.0
275,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,3.0
276,Nissin,Yakisoba,Tray,5.0
277,Suimin,Noodle With Oriental Chicken Flavour,Cup,3.0
278,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,4.0
279,Cintan,Mi Segera Mmm... Original,Pack,3.0
280,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,4.0
281,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,3.0
282,Suimin,Noodles With Chicken Flavour,Cup,3.0
283,Nissin,Cup Noodles Seafood,Cup,4.0
284,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,4.0
285,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,5.0
286,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,5.0
287,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,4.0
288,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,5.0
289,Myojo,Shin Toyama Black Ramen,Bowl,4.0
290,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,4.0
291,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,0.0
292,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,4.0
293,Fantastic,Noodles Beef Flavour,Cup,3.0
294,Nissin,Korean Kimchi Flavour Vermicelli,Cup,4.0
295,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,5.0
296,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,5.0
297,Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,4.0
298,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,4.0
299,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,5.0
300,Nissin,Raoh Tantanmen,Pack,5.0
301,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,3.0
302,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,3.0
303,JML,Hot & Sour Beef Noodles,Pack,4.0
304,Suimin,Noodles With Braised Beef Flavour,Cup,4.0
305,Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,4.0
306,Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,4.0
308,Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,4.0
309,Wai Wai,Instant Noodles Veg Masala Flavour,Pack,4.0
310,Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,5.0
311,Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,2.0
312,Nissin,Disney Cuties Instant Noodle Crab Flavour,Cup,4.0
313,Nissin,Cup Noodles Rich Soft Shelled Turle Soup,Cup,3.0
314,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,1.0
315,Sichuan Baijia,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,4.0
316,Dream Kitchen,Curry Flavour Instant Noodles,Cup,5.0
317,Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,4.0
318,Uni-President,Science Noodle (X'Mas Edition),Pack,5.0
319,Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,3.75
320,Kamfen,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,4.3
321,Fuku,Tom Yam Soup Instant Noodle,Pack,2.3
322,Goku-Uma,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,3.0
323,Daikoku,Hiroshima Flavor Yakisoba,Tray,5.0
324,Nissin,Disney Cuties Instant Noodle Seaweed Flavour,Cup,3.0
325,Singa-Me,Instant Noodles Mi Goreng Flavour,Cup,4.0
326,New Touch,Sugomen Sano Ramen,Bowl,5.0
327,Ottogi,Ramyon Sabor Y Camaron,Pack,4.0
328,Nissin,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,4.0
329,Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,4.0
330,Nongshim,Shin Noodle Soup,Cup,5.0
331,Nissin,Sapporo Noukou Miso Ramen,Bowl,5.0
332,Dream Kitchen,Soy Sauce,Cup,4.0
333,Nissin,Vietnamese Chicken Coriander Flavour Vermicelli,Cup,4.0
334,Kang Shi Fu,Artificial Spicy Beef Flavour,Pack,4.0
335,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,4.0
336,Great Value,Beef Style Noodles With Vegetables,Cup,3.0
337,Fuku,Spicy Soup Instant Noodle Beef Flavour,Pack,4.0
338,Wang,Rice Noodle Anchovy Flavor,Bowl,3.0
339,Nissin,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,4.0
340,Asian Thai Foods,Rumpum Gundruk Flavour,Pack,1.0
341,Nissin,Cup Noodle Light+ Bagna Cauda,Cup,5.0
342,Maruchan,Gotsumori Koku Tonkotsu Ramen,Bowl,4.0
343,Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,4.0
344,Paldo,Bibim Men,Bowl,5.0
345,Nissin,Cup Noodles Milk Seafood Flavour,Cup,4.0
346,Nissin,Spicy Chikin Donburi,Bowl,5.0
347,Fantastic,Noodle Chicken Flavour,Cup,4.0
348,Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,4.0
349,Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,4.0
350,Nissin,Raoh Shoyu Ramen,Bowl,5.0
351,Maruchan,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,4.0
352,Nagatanien,Hiyashi Soba Taidashi Goma,Pack,3.0
353,Fuku,Bowl Chicken Flavour Instant Rice Vermicelli,Bowl,4.0
354,Wai Wai,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,4.0
355,KOKA,Rice Noodles Fragrant Chicken Pho Ga Flavour,Pack,4.0
356,Nyor Nyar,Vegetarian Penang White Curry,Pack,5.0
357,Nissin,Cup Noodle Seafood,Cup,5.0
358,Paldo,Budae Jjigae,Pack,5.0
359,Fantastic,Noodles Crispy Bacon Flavour,Cup,1.0
360,Tseng Noodles,Spicy Braised Pork Flavor,Pack,4.0
361,Nissin,Demae Ramen Spicy Seafood Flavour Instant Noodle,Pack,5.0
362,A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,3.0
363,Myojo,Mee Goreng Spicy Flavour,Pack,5.0
364,Sapporo Ichiban,Tabimen Nagasaki Chanpon,Bowl,4.0
365,Acecook,Oh! Ricey Pork Flavour,Pack,4.0
367,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,3.0
368,Morre,Instant Noodles Masala,Pack,4.0
369,Nissin,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,Pack,5.0
370,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,0.0
371,Nissin,Big Cup Noodles Tonkotsu Flavour,Cup,3.0
372,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,5.0
373,Maruchan,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,4.0
374,Nissin,Cup Noodles Sabor Galinha Caipira,Cup,4.0
375,Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,4.0
376,Nissin,Nupasta Vongole Flavour Instant Noodle,Cup,4.0
377,Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,2.0
378,Mr. Lee's Noodles,Shaolin Monk Vegetables,Cup,5.0
